index,latitude,longitude
917,-15.7925,130.0014
918,-15.755,130.0342
919,-15.7508,130.0465
920,-15.7269,130.0772
921,-15.7081,130.1394
922,-15.6867,130.164
923,-15.6577,130.2261
924,-15.6475,130.236
925,-15.6278,130.2773
926,-15.6011,130.2931
927,-15.5947,130.302
928,-15.5989,130.37
929,-15.6144,130.3927
930,-15.6149,130.4079
931,-15.6248,130.4336
932,-15.6261,130.4563
933,-15.654,130.4797
934,-15.674,130.4839
935,-15.7141,130.4801
936,-15.7265,130.4886
937,-15.7284,130.4974
938,-15.7381,130.5073
939,-19.8341,120.6911
940,-19.8377,120.6743
941,-19.8564,120.6354
942,-19.8971,120.5267
943,-19.9144,120.4583
944,-19.9333,120.4071
945,-36.4236,143.616
946,-36.4245,143.6257
947,-36.4997,143.7388
948,-36.5671,143.8652
949,-36.5775,143.8701
950,-36.5774,143.8816
951,-36.5859,143.9018
952,-36.5997,143.9369
953,-19.5315,147.0787
954,-19.559,147.1117
955,-19.5695,147.2209
956,-19.5612,147.2378
957,-19.5568,147.2789
958,-19.5588,147.2946
959,-19.5688,147.3086
960,-19.5712,147.3328
961,-19.5537,147.3561
962,-19.5568,147.3849
963,-19.57,147.4022
964,-35.1564,142.6
965,-35.1553,142.6475
966,-35.1588,142.6609
967,-35.1912,142.6914
968,-35.2908,142.6916
969,-35.3082,142.7005
970,-35.3107,142.763
971,-35.3141,142.7669
972,-35.3914,142.7634
973,-35.4097,142.7764
974,-35.4508,142.7763
975,-35.4532,142.8279
976,-35.4602,142.8317
977,-35.4622,142.8446
978,-35.4756,142.8468
979,-35.7181,143.1065
980,-35.7301,143.1161
981,-35.7441,143.1165
982,-35.7763,143.1289
983,-35.7882,143.1277
984,-35.8327,143.1585
985,-35.9059,143.2282
986,-35.9349,143.2281
987,-35.9349,143.2281
988,-36.0663,143.229
989,-35.508,142.8509
990,-35.5339,142.8855
991,-35.6123,142.9717
992,-35.705,143.0864
993,-35.7181,143.1065
994,-36.449,142.0498
995,-36.4581,142.0569
996,-36.4867,142.0999
997,-36.5024,142.1004
998,-36.5202,142.1107
999,-36.578,142.1159
1000,-36.591,142.1226
1001,-36.6122,142.1251
1002,-36.6959,142.1685
1003,-36.7072,142.1909
1004,-36.7114,142.2057
1005,-36.086,140.3408
1006,-36.062,140.3179
1007,-36.0,140.2638
1008,-34.7637,142.2814
1009,-34.8193,142.2945
1010,-34.8996,142.3059
1011,-34.9333,142.3131
1012,-34.1703,142.1815
1013,-34.1832,142.2315
1014,-34.2079,142.2489
1015,-34.2575,142.2494
1016,-34.2891,142.2812
1017,-34.2933,142.3212
1018,-34.3168,142.3604
1019,-34.318,142.3847
1020,-34.3221,142.393
1021,-34.334,142.4033
1022,-34.3628,142.4093
1023,-34.3767,142.4186
1024,-20.722,118.5
1025,-20.6986,118.4797
1026,-20.6776,118.4717
1027,-20.6101,118.4431
1028,-20.5712,118.437
1029,-28.5,153.5293
1030,-28.508,153.5327
1031,-28.5199,153.5299
1032,-28.533,153.5394
1033,-28.5377,153.5487
1034,-28.5509,153.5474
1035,-28.5625,153.537
1036,-28.5725,153.5336
1037,-28.2184,152.02
1038,-28.219,152.0344
1039,-29.0716,153.3461
1040,-29.0743,153.3398
1041,-29.4642,153.211
1042,-29.4726,153.2072
1043,-35.508,142.8509
1044,-35.5039,142.8498
1045,-36.0944,140.3491
1046,-36.086,140.3408
1047,-36.2694,143.3503
