index,latitude,longitude
1030,-17.6921,146.0465
1031,-17.6929,146.0471
1032,-17.6936,146.0477
1033,-17.6944,146.0483
1034,-17.6951,146.0489
1035,-17.6959,146.0495
1036,-17.6966,146.05
1037,-17.6974,146.0506
1038,-17.6981,146.0512
1039,-17.6991,146.0511
1040,-17.7,146.051
1041,-17.701,146.0509
1042,-17.7019,146.0508
1043,-17.7029,146.0507
1044,-17.7038,146.0507
1045,-17.7048,146.0506
1046,-17.7057,146.0505
1047,-17.7067,146.0504
1048,-17.7076,146.0503
1049,-17.7082,146.0496
1050,-17.7088,146.0488
1051,-17.7093,146.0481
1052,-17.7099,146.0474
1053,-17.7105,146.0467
1054,-17.7111,146.0459
1055,-17.7117,146.0452
1056,-17.7123,146.0445
1057,-17.7128,146.0438
1058,-17.7134,146.043
1059,-17.714,146.0423
1060,-17.7149,146.0419
1061,-17.7158,146.0416
1062,-17.7167,146.0412
1063,-17.7177,146.0408
1064,-17.7186,146.0404
1065,-17.7195,146.0401
1066,-17.7204,146.0397
1067,-17.7213,146.0393
1068,-17.7222,146.0389
1069,-17.7232,146.0386
1070,-17.7241,146.0382
1071,-17.725,146.0378
1072,-17.7259,146.0374
1073,-17.7268,146.0371
1074,-17.7277,146.0367
1075,-17.7287,146.0363
1076,-17.7296,146.0359
1077,-17.7305,146.0356
1078,-17.7314,146.0352
1079,-17.7323,146.0348
1080,-17.7332,146.0345
1081,-17.7341,146.0341
